habitatColourID,colourName_forUserInfoOnly,colourRangeMin,colourRangeMax,habitatType,habitatSwitchedOn?,ONLY FLOWER DATA BEYOND THIS COLUMN!,Alsike_clover,American_willowherb,Average_Willow,Bell_heather,Birdsfoot_trefoil,Blackthorn,Bramble,Buckwheat,Bugle,Burdock,Buttercup,Charlock,Chicory,Comfrey,Common_bluebell,Common_cats_ear,Common_field_speedwell,Common_fumitory,Common_knapweed,Common_mouse_ear,Common_vetch,Creeping_buttercup,Crop_Apple,Crop_Cereals,Crop_Field_beans,Crop_Maize,Crop_Oilseed_rape,Cross_leaved_heath,Daisy,Dandelion,Dog_rose,Field_pansy,Field_scabious,Field_woundwort,Foxglove,Germander_speedwell,Giant_bindweed,Gorse,Greater_birdsfoot_trefoil,Greater_knapweed,Ground_ivy,Hawthorn,Heath_speedwell,Hedge_bindweed,Hedge_woundwort,Ling,Marsh_thistle,Meadow_buttercup,Meadowsweet,Oilseed_rape,Ox-eye_daisy,Phacelia,Prickly_sow_thistle,Ragwort,Red_campion,Red_clover,Red_dead_nettle,Redshank,Ribwort_plantain,Rosebay_willowherb,Salad_burnet,Scarlet_pimpernel,Selfheal,Silverweed,Smooth_hawksbeard,Spear_thistle,St_Johns_wort,Sunflower,Tormentil,Tufted_vetch,Vipers_bugloss,White_clover,White_dead_nettle,White_mustard,Wild_carrot,Wild_radish,Wild_teasel,Yarrow,Yellow_rattle
12,darkred,12,12,Grass_margin,TRUE,n/a,0.0175,0,0,0,0.376666667,0,0,0,0,0,1.528333333,0,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129333333,0,0,0,0,0,0.14,0,0,0.046666667,0.02,0,0,0,0,0,0.276,0,0,0.203333333,0.098333333,0,0,0
15,red,13,17,Crop_Field_beans,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,lightred,18,18,Grass_multispecies_ley,TRUE,n/a,0,0,0,0,0.02875,0,0,0,0,0,0,0,0.253333333,0,0,0,0,0,0,0.288255208,0,0.921875,0,0,0,0,0,0,0.001,0.373645833,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0.1275,2.08E-02,0,0.906547619,0,0.00390625,0,0,0,0.05234375,0.0046875,0,0,0,0,0,3.725,0,0,0,0.099375,0,0.046,0
25,orange,23,27,Hedgerow,TRUE,n/a,0,0,1.275,0,0.037380952,0.216576408,1.002552178,0,0.119047619,0.005,0.380933333,0,0,0.041666667,0.057037037,0,0,0,0.220238095,0,0.131818182,0,0,0,0,0,0,0,0,0.110447154,0.098706897,0,0.008333333,0,0.065,0,0.046666667,0,0,0,0.062681159,1.207548857,0,0.00005,0.043333333,0,0.004333333,0,0,0.052083333,0,0,0,0.016666667,0,0.045833333,0.099761905,0,0,0.127291667,0,0,0.038333333,0,0,0.0075,0.001666667,0,0,0.046071429,0,0.39530303,0.135151515,0,0,0,0.0225,0,0
32,darkbrown,32,32,Woodland_mixed,TRUE,n/a,0,0,0,0,0.018194445,0.166666667,0.209326923,0,0.149166667,0.052083334,0.362103175,0,0,0,0,0,0,0,0.004166667,0,0.019027778,0,0,0,0,0,0,0,0,0.004791667,0.020833334,0,0.002083334,0,0.009895834,0,0,0,0,0,0.051157408,1.366666667,0,0,0.019107143,0,0.01125,0,0,0,0,0,0,0.00125,0,0.0025,0.0125,0,0,0.009895834,0,0,0.04,0,0,0.003541667,0.005,0,0,0.000833334,0,0.041666667,0.00375,0,0,0,0,0,0
35,brown,33,37,Woodland,TRUE,n/a,0,0,0,0,0.036388889,0.333333333,0.418653846,0,0.298333333,0.104166667,0.724206349,0,0,0,0.59865942,0,0,0,0.008333333,0,0.038055556,0,0,0,0,0,0,0,0,0.009583333,0.041666667,0,0.004166667,0,0.019791667,0,0,0,0,0,0.102314815,2.733333333,0,0,0.038214286,0,0.0225,0,0,0,0,0,0,0.0025,0,0.005,0.025,0,0,0.019791667,0,0,0.08,0,0,0.007083333,0.01,0,0,0.001666667,0,0.083333333,0.0075,0,0,0,0,0,0
42,darkyellow,42,42,GameCover_Plot_57,TRUE,n/a,0,0,0,0,0,0,0,6.276666667,0,0,0,0,0,0,0,0,4.79,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0.19,0,0,0,0.16,0,0,0,0,1.185,0,0,0,0,0,2.2,0,0,0,0,0,0.82,0,17.37333333,0,0,0
45,yellow,43,47,Crop_Oilseed_rape,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,lightyellow,48,48,Wildflower,TRUE,n/a,0,0,0,0,7.1375,0,0,0,0,0,0,0,0,0,0.0393,0.509090909,0,0,2.05E-02,0,0,0.841,0,0,0,0,0,0,0,6.83E-02,0,0,0.04375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,3.21E-02,0,0,0.996666667,0,0,0,0.025,0,2.275,0,0,0,0,0,0,1.375,0,0,0,0,0,2.686111111,4.95
51,darkgreen,51,51,Rush_pasture,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68E-02,0,0.325042735,0,0,0,0,0,0,0,1.03E-02,0,0,0,0,0,0.05,0,0,1.694444444,0,0,0,0,0,0,0,0.230555556,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33E-02,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0
